VOTER,SINGER,SCORE,,,,,,,,
Austria,The Netherlands,4,4,,,,austria,the netherlands,4,"""austria"": {""the netherlands"":4.3,},"
Austria,Turkey,5,5,,,,austria,turkey,5,"""austria"": {""turkey"":4.7,},"
Austria,U.K.,3,3,,,,austria,u.k.,3,"""austria"": {""u.k."":2.8,},"
Austria,Ukraine,2,2,,,,austria,ukraine,2,"""austria"": {""ukraine"":1.8,},"
Azerbaijan,Azerbaijan,-1,-1,,,,azerbaijan,azerbaijan,-1,"""azerbaijan"": {""azerbaijan"":-1,},"
Azerbaijan,Bulgaria,-1,-1,,,,azerbaijan,bulgaria,-1,"""azerbaijan"": {""bulgaria"":-1,},"
Azerbaijan,Slovakia,-1,-1,,,,azerbaijan,slovakia,-1,"""azerbaijan"": {""slovakia"":-1,},"
Azerbaijan,Albania,0,0,,,,azerbaijan,albania,0,"""azerbaijan"": {""albania"":0.3,},"
Azerbaijan,Armenia,0,0,,,,azerbaijan,armenia,0,"""azerbaijan"": {""armenia"":0,},"
Azerbaijan,Austria,1,1,,,,azerbaijan,austria,1,"""azerbaijan"": {""austria"":0.5,},"
Azerbaijan,Belarus,5,5,,,,azerbaijan,belarus,5,"""azerbaijan"": {""belarus"":4.7,},"
Azerbaijan,Belgium,0,0,,,,azerbaijan,belgium,0,"""azerbaijan"": {""belgium"":0,},"
Azerbaijan,Bosnia & Herzegovina,1,1,,,,azerbaijan,bosnia & herzegovina,1,"""azerbaijan"": {""bosnia & herzegovina"":1,},"
Azerbaijan,Croatia,3,3,,,,azerbaijan,croatia,3,"""azerbaijan"": {""croatia"":2.5,},"
Azerbaijan,Cyprus,1,1,,,,azerbaijan,cyprus,1,"""azerbaijan"": {""cyprus"":1,},"
Azerbaijan,Denmark,1,1,,,,azerbaijan,denmark,1,"""azerbaijan"": {""denmark"":1.3,},"
Azerbaijan,Estonia,1,1,,,,azerbaijan,estonia,1,"""azerbaijan"": {""estonia"":1,},"
Azerbaijan,F.Y.R. Macedonia,0,0,,,,azerbaijan,f.y.r. macedonia,0,"""azerbaijan"": {""f.y.r. macedonia"":0,},"
Azerbaijan,Finland,0,0,,,,azerbaijan,finland,0,"""azerbaijan"": {""finland"":0,},"
Azerbaijan,France,0,0,,,,azerbaijan,france,0,"""azerbaijan"": {""france"":0,},"
Azerbaijan,Georgia,8,8,,,,azerbaijan,georgia,8,"""azerbaijan"": {""georgia"":8,},"
Azerbaijan,Germany,0,0,,,,azerbaijan,germany,0,"""azerbaijan"": {""germany"":0.1,},"
Azerbaijan,Greece,4,4,,,,azerbaijan,greece,4,"""azerbaijan"": {""greece"":3.9,},"
Azerbaijan,Hungary,3,3,,,,azerbaijan,hungary,3,"""azerbaijan"": {""hungary"":2.5,},"
Azerbaijan,Iceland,0,0,,,,azerbaijan,iceland,0,"""azerbaijan"": {""iceland"":0,},"
Azerbaijan,Ireland,0,0,,,,azerbaijan,ireland,0,"""azerbaijan"": {""ireland"":0.3,},"
Azerbaijan,Israel,4,4,,,,azerbaijan,israel,4,"""azerbaijan"": {""israel"":4,},"
Azerbaijan,Italy,0,0,,,,azerbaijan,italy,0,"""azerbaijan"": {""italy"":0.3,},"
Azerbaijan,Latvia,0,0,,,,azerbaijan,latvia,0,"""azerbaijan"": {""latvia"":0,},"
Azerbaijan,Lithuania,2,2,,,,azerbaijan,lithuania,2,"""azerbaijan"": {""lithuania"":2,},"
Azerbaijan,Malta,5,5,,,,azerbaijan,malta,5,"""azerbaijan"": {""malta"":5.3,},"
Azerbaijan,Moldova,4,4,,,,azerbaijan,moldova,4,"""azerbaijan"": {""moldova"":4.2,},"
Azerbaijan,Montenegro,0,0,,,,azerbaijan,montenegro,0,"""azerbaijan"": {""montenegro"":0,},"
Azerbaijan,Norway,3,3,,,,azerbaijan,norway,3,"""azerbaijan"": {""norway"":2.5,},"
Azerbaijan,Poland,1,1,,,,azerbaijan,poland,1,"""azerbaijan"": {""poland"":1,},"
Azerbaijan,Portugal,0,0,,,,azerbaijan,portugal,0,"""azerbaijan"": {""portugal"":0,},"
Azerbaijan,Romania,5,5,,,,azerbaijan,romania,5,"""azerbaijan"": {""romania"":4.9,},"
Azerbaijan,Russia,6,6,,,,azerbaijan,russia,6,"""azerbaijan"": {""russia"":6.1,},"
